search_string,unique_name,approximate_match,ott_id,is_synonym,flags,number_matches,corrected_name
artibeus anderseni,Artibeus anderseni,FALSE,805983,FALSE,sibling_higher,1,Dermanura_anderseni
artibeus aztecus,Artibeus aztecus,FALSE,1039987,FALSE,sibling_higher,1,Dermanura_aztecus
artibeus cinereus,Artibeus cinereus,FALSE,513419,FALSE,sibling_higher,1,Dermanura_cinereus
artibeus glaucus,Artibeus glaucus,FALSE,513426,FALSE,sibling_higher,1,Dermanura_glaucus
artibeus phaeotis,Artibeus phaeotis,FALSE,513447,FALSE,sibling_higher,1,Dermanura_phaeotis
artibeus toltecus,Artibeus toltecus,FALSE,362821,FALSE,sibling_higher,1,Dermanura_toltecus
micronycteris homezi,Micronycteris homezi,FALSE,596437,FALSE,sibling_higher,2,Micronycteris_minuta
physeter catodon,Physeter catodon,FALSE,276851,FALSE,sibling_higher,1,Physeter_macrocephalus
saguinus fuscicollis,Saguinus fuscicollis,FALSE,1015238,FALSE,sibling_higher,1,Leontocebus_fuscicollis
saguinus graellsi,Saguinus graellsi,FALSE,955071,FALSE,sibling_higher,1,Leontocebus_nigricollis
saguinus melanoleucus,Saguinus melanoleucus,FALSE,429033,FALSE,sibling_higher,1,Leontocebus_weddelli
saguinus nigricollis,Saguinus nigricollis,FALSE,1015216,FALSE,sibling_higher,1,Leontocebus_nigricollis
saguinus tripartitus,Saguinus tripartitus,FALSE,394176,FALSE,sibling_higher,1,Leontocebus_tripartitus
artibeus gnomus,Artibeus glaucus gnomus,FALSE,513423,TRUE,infraspecific,1,Dermanura_gnomus
artibeus watsoni,Artibeus glaucus watsoni,FALSE,805986,TRUE,infraspecific,1,Dermanura_watsoni
damaliscus korrigum,Damaliscus lunatus korrigum,FALSE,540240,TRUE,infraspecific,1,Damaliscus_lunatus
alouatta coibensis,Alouatta coibensis,TRUE,3607546,FALSE,hidden,1,Alouatta_palliata
elasmodontomys obliquus,Elasmodontomys obliquus,FALSE,3611121,FALSE,"extinct, incertae_sedis",1,NOTFOUND
acomys chudeaui,Acomys chudeaui,FALSE,487174,FALSE,,1,Acomys_cahirinus
alcelaphus caama,Alcelaphus caama,FALSE,989782,FALSE,,1,Alcelaphus_buselaphus
ammospermophilus insularis,Ammospermophilus insularis,FALSE,632597,FALSE,,1,NOTFOUND
babyrousa bolabatuensis,Babyrousa bolabatuensis,FALSE,3611401,FALSE,,1,NOTFOUND
